;keypoints;time_to_detect;time_to_decribe;matches;time_to_match;detector;descriptor;total_time
0;51.3333333333;3.9116555556;0.2232111111;30.6666666667;0.1298555556;akaze;brief;4.0415111111
1;51.3333333333;4.5264555556;1.0854222222;51.4444444444;0.2103888889;akaze;brisk;4.7368444444
2;51.3333333333;4.4652333333;76.0459666667;9.6666666667;0.1269222222;akaze;freak;4.5921555556
3;51.3333333333;4.4877111111;0.7239;23.3333333333;0.1267444444;akaze;orb;4.6144555556
4;51.3333333333;2.47625;7.0690966667;51.4444444444;0.1569383333;akaze;sift;2.6331883333
5;6.8888888889;10.3136444444;0.1474777778;6.7777777778;0.0926111111;brisk;brief;10.4062555556
6;6.8888888889;7.7318777778;0.2208777778;6.7777777778;0.1036777778;brisk;brisk;7.8355555556
7;6.8888888889;10.0764222222;75.4985555556;6.7777777778;0.0981888889;brisk;freak;10.1746111111
8;6.8888888889;10.686;0.3097222222;5;0.0878444444;brisk;orb;10.7738444444
9;6.8888888889;5.5988055556;1.2661588889;6.7777777778;0.0465615556;brisk;sift;5.6453671111
10;102.4444444444;0.2060666667;0.2990333333;21.4444444444;0.1193;fast;brief;0.3253666667
11;102.4444444444;0.1769888889;1.2739777778;58.7777777778;0.2808555556;fast;brisk;0.4578444444
12;102.4444444444;0.3184666667;79.8645555556;30.1111111111;0.1464;fast;freak;0.4648666667
13;102.4444444444;0.2973666667;0.4905111111;15;0.1399888889;fast;orb;0.4373555556
14;102.4444444444;0.1297454444;4.8491955556;102.6666666667;0.3488734444;fast;sift;0.4786188889
15;39.3333333333;3.1524555556;0.1327222222;7.6666666667;0.1114777778;harris;brief;3.2639333333
16;39.3333333333;2.2886;0.5541;23.2222222222;0.1541444444;harris;brisk;2.4427444444
17;39.3333333333;3.5056555556;78.6641444444;12.1111111111;0.1215555556;harris;freak;3.6272111111
18;39.3333333333;3.3416222222;0.3559666667;6;0.1308555556;harris;orb;3.4724777778
19;39.3333333333;1.1184047778;2.1881277778;39.4444444444;0.1023712222;harris;sift;1.220776
20;51.3333333333;4.5768;0.2159444444;30.6666666667;0.1048888889;orb;brief;4.6816888889
21;51.3333333333;4.1579555556;1.0479111111;51.4444444444;0.2396;orb;brisk;4.3975555556
22;51.3333333333;4.4861555556;75.6117444444;9.6666666667;0.1118444444;orb;freak;4.598
23;51.3333333333;4.5130333333;0.7206888889;23.3333333333;0.1544666667;orb;orb;4.6675
24;51.3333333333;2.4175955556;7.0160422222;51.4444444444;0.1520987778;orb;sift;2.5696943333
25;130.8888888889;2.2795777778;0.4801444444;40.4444444444;0.1669555556;shi;brief;2.4465333333
26;130.8888888889;1.8479555556;1.7431333333;83.1111111111;0.2891777778;shi;brisk;2.1371333333
27;130.8888888889;2.7401111111;80.7651;50.2222222222;0.2097888889;shi;freak;2.9499
28;130.8888888889;2.7434666667;0.5077444444;35.4444444444;0.2100444444;shi;orb;2.9535111111
29;130.8888888889;0.8989512222;2.7142055556;130.2222222222;0.4912507778;shi;sift;1.390202
30;51.3333333333;2.5112544444;0.1534211111;30.6666666667;0.14738;sift;brief;2.6586344444
31;51.3333333333;2.4777044444;0.5892775556;51.4444444444;0.2177384444;sift;brisk;2.6954428889
32;51.3333333333;2.3726833333;40.5377222222;9.6666666667;0.0853754444;sift;freak;2.4580587778
33;51.3333333333;2.4001211111;0.4220142222;23.3333333333;0.1219022222;sift;orb;2.5220233333
34;51.3333333333;2.5304733333;6.9312888889;51.4444444444;0.154903;sift;sift;2.6853763333
